transaction_id,product_surragate_id,customer_id,transaction_date,online_order,order_status,list_price
1,1,2950,2017-02-25,False,Approved,71.49
2,2,3120,2017-05-21,True,Approved,2091.47
3,3,402,2017-10-16,False,Approved,1793.43
4,4,3135,2017-08-31,False,Approved,1198.46
5,5,787,2017-10-01,True,Approved,1765.3
6,6,2339,2017-03-08,True,Approved,1538.99
7,7,1542,2017-04-21,True,Approved,60.34
8,8,2459,2017-07-15,False,Approved,1292.84
9,9,1305,2017-08-10,False,Approved,1071.23
10,10,3262,2017-08-30,True,Approved,1231.15
11,11,1986,2017-01-17,False,Approved,574.64
12,12,2783,2017-01-05,True,Approved,71.16
13,13,1243,2017-02-26,True,Approved,1057.51
14,14,2717,2017-09-10,False,Approved,1661.92
15,15,247,2017-06-11,False,Approved,1765.3
16,2,2961,2017-10-10,False,Approved,2091.47
17,16,2426,2017-04-03,False,Approved,1555.58
18,17,1842,2017-06-02,False,Approved,1311.44
19,18,2268,2017-04-06,True,Approved,1292.84
20,6,3002,2017-01-28,True,Approved,1538.99
21,19,1582,2017-10-09,False,Approved,499.53
22,3,595,2017-06-29,True,Approved,1793.43
23,3,2001,2017-04-08,True,Approved,1793.43
24,20,515,2017-10-18,False,Approved,1538.99
25,21,2822,2017-06-11,False,Approved,1362.99
26,22,2596,2017-01-10,False,Approved,1469.44
27,22,2666,2017-04-11,True,Approved,1469.44
28,23,76,2017-12-23,False,Approved,574.64
29,24,3368,2017-10-13,True,Approved,360.4
30,25,1173,2017-03-15,False,Approved,642.31
31,4,2810,2017-09-05,True,Approved,1198.46
32,26,3214,2017-02-18,False,Approved,1403.5
33,6,1272,2017-03-20,False,Approved,1538.99
34,27,2003,2017-02-28,True,Approved,1720.7
35,28,2171,2017-08-20,False,Approved,544.05
36,29,3356,2017-07-07,False,Approved,1415.01
37,30,1040,2017-01-09,False,Approved,1842.92
38,1,2916,2017-12-06,False,Approved,71.49
39,10,427,2017-09-12,False,Approved,1231.15
40,28,2448,2017-11-28,True,Approved,544.05
41,31,2570,2017-05-08,True,Approved,1769.64
42,32,3398,2017-05-14,False,Approved,2083.94
43,33,488,2017-03-17,False,Cancelled,642.31
44,34,165,2017-12-22,False,Approved,1289.85
45,35,2787,2017-06-07,True,Approved,1894.19
46,36,3053,2017-06-20,False,Approved,1163.89
47,13,475,2017-05-07,True,Approved,1057.51
48,37,1305,2017-06-10,True,Approved,1151.96
49,38,1251,2017-06-17,False,Approved,235.63
50,39,3103,2017-05-10,False,Approved,642.7
51,40,3108,2017-03-24,False,Approved,1240.31
52,41,857,2017-11-27,False,Approved,1635.3
53,42,3455,2017-12-21,True,Approved,227.88
54,19,2549,2017-02-09,True,Approved,499.53
55,43,3140,2017-09-18,False,Approved,363.01
56,44,3406,2017-11-14,False,Approved,1720.7
57,45,2294,2017-08-30,True,Approved,1635.3
58,46,1031,2017-11-14,False,Approved,100.35
59,47,993,2017-02-15,True,Approved,1458.17
60,48,3473,2017-12-18,False,Approved,1977.36
61,49,1839,2017-02-24,False,Approved,12.01
62,17,1824,2017-12-18,True,Approved,1311.44
63,50,368,2017-12-17,False,Approved,1403.5
64,51,2000,2017-07-08,False,Approved,499.53
65,52,825,2017-05-16,True,Approved,1216.14
66,38,3315,2017-02-23,True,Approved,235.63
67,1,75,2017-07-03,True,Approved,71.49
68,53,1498,2017-09-30,True,Approved,1129.13
69,54,1612,2017-10-21,True,Approved,2091.47
70,19,2192,2017-05-06,True,Approved,499.53
71,18,419,2017-01-03,False,Approved,1292.84
72,55,3307,2017-05-09,True,Approved,1769.64
73,7,2430,2017-07-23,False,Approved,60.34
74,56,1506,2017-01-21,True,Approved,183.86
75,57,1346,2017-06-20,False,Approved,912.52
76,7,927,2017-03-10,False,Approved,60.34
77,58,763,2017-06-02,False,Approved,175.89
78,59,2397,2017-11-07,False,Approved,1073.07
79,60,102,2017-09-12,True,Approved,1179.0
80,61,2884,2017-12-16,False,Approved,958.74
81,62,759,2017-10-07,True,Approved,792.9
82,63,773,2017-04-27,True,Approved,1071.23
83,64,3398,2017-04-01,True,Approved,235.63
84,17,3297,2017-11-02,True,Approved,1311.44
85,65,2434,2017-02-13,True,Approved,290.62
86,26,1861,2017-07-19,False,Approved,1403.5
87,19,1233,2017-05-23,False,Approved,499.53
88,66,1390,2017-08-06,False,Approved,752.64
89,49,2682,2017-04-04,True,Approved,12.01
90,67,439,2017-08-15,True,Approved,478.16
91,68,1579,2017-04-15,True,Approved,1024.66
92,69,2984,2017-07-25,True,Approved,1945.43
93,17,3470,2017-11-28,True,Approved,1311.44
94,38,1,2017-12-23,False,Approved,235.63
95,70,757,2017-02-26,False,Approved,441.49
96,26,1778,2017-02-21,False,Approved,1403.5
97,59,211,2017-05-31,True,Approved,1073.07
98,71,333,2017-06-23,,Approved,533.51
99,72,32,2017-03-26,False,Approved,569.56
100,73,119,2017-07-31,False,Approved,478.16
101,74,2347,2017-07-27,False,Approved,1148.64
102,53,2353,2017-04-14,False,Approved,1129.13
103,17,788,2017-11-12,False,Approved,1311.44
104,5,1468,2017-09-12,False,Approved,1765.3
105,21,821,2017-10-26,False,Approved,1362.99
106,75,2489,2017-02-15,False,Approved,495.72
107,16,2710,2017-12-22,False,Approved,1555.58
108,76,947,2017-10-11,True,Approved,1992.93
109,77,1335,2017-03-27,True,Approved,1812.75
110,78,1076,2017-11-04,False,Approved,945.04
111,79,3320,2017-06-11,True,Approved,71.16
112,62,779,2017-10-09,False,Approved,792.9
113,80,3296,2017-06-07,True,Approved,358.39
114,81,455,2017-10-24,True,Approved,1873.97
115,33,1779,2017-05-01,False,Approved,642.31
116,24,2703,2017-11-21,True,Approved,360.4
117,82,806,2017-03-24,False,Approved,1810.0
118,83,22,2017-03-21,False,Approved,1775.81
